color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,francis lawrence,146,424645577.0,"['adventure', 'sci-fi', 'thriller']",The Hunger Games: Catching Fire,2013,english,Usa,130000000.0,7.6,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",82000
black and white,steven spielberg,146,79883359.0,"['drama', 'war']",War Horse,2011,english,Usa,66000000.0,7.2,"Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan",28000
color,michael bay,144,52822418.0,"['action', 'drama', 'thriller', 'war']",13 Hours,2016,english,Usa,50000000.0,7.4,"Toby Stephens,James Badge Dale,David Costabile",44000
color,guillaume canet,144,41229.0,"['crime', 'drama', 'thriller']",Blood Ties,2013,english,France,25500000.0,6.5,"Mila Kunis,Lili Taylor,Billy Crudup",0
color,paul thomas anderson,144,16377274.0,['drama'],The Master,2012,english,Usa,32000000.0,7.1,"Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild",27000
color,bryan singer,144,154985087.0,"['action', 'adventure', 'sci-fi']",X-Men: Apocalypse,2016,english,Usa,178000000.0,7.3,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",54000
color,adam mckay,143,2175312.0,['comedy'],Anchorman 2: The Legend Continues,2013,english,Usa,50000000.0,6.3,"Harrison Ford,Will Ferrell,Steve Carell",41000
color,zack snyder,143,291021565.0,"['action', 'adventure', 'fantasy', 'sci-fi']",Man of Steel,2013,english,Usa,225000000.0,7.2,"Henry Cavill,Christopher Meloni,Harry Lennix",118000
color,sam mendes,143,304360277.0,"['action', 'adventure', 'thriller']",Skyfall,2012,english,Uk,200000000.0,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
color,sam mendes,143,304360277.0,"['action', 'adventure', 'thriller']",Skyfall,2012,english,Uk,200000000.0,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
color,baz luhrmann,143,144812796.0,"['drama', 'romance']",The Great Gatsby,2013,english,Australia,105000000.0,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
color,baz luhrmann,143,144812796.0,"['drama', 'romance']",The Great Gatsby,2013,english,Australia,105000000.0,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
color,steven spielberg,142,72306065.0,"['drama', 'history', 'thriller']",Bridge of Spies,2015,english,Usa,40000000.0,7.6,"Tom Hanks,Mark Rylance,Amy Ryan",55000
color,marc webb,142,202853933.0,"['action', 'adventure', 'fantasy', 'sci-fi']",The Amazing Spider-Man 2,2014,english,Usa,200000000.0,6.7,"Emma Stone,Andrew Garfield,B.J. Novak",41000
color,,142,407999255.0,"['adventure', 'drama', 'sci-fi', 'thriller']",The Hunger Games,2012,english,Usa,78000000.0,7.3,"Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds",140000
color,joss whedon,141,458991599.0,"['action', 'adventure', 'sci-fi']",Avengers: Age of Ultron,2015,english,Usa,250000000.0,7.5,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",118000
